Index,Country,Country code,Type,Parent code,"1,950.00","1,951.00","1,952.00",1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
184,Mexico,484,Country/Area,916,"27,944.67","28,749.85","29,590.08","30,468.85","31,388.57","32,350.59","33,355.18","34,401.54","35,487.96","36,612.11","37,771.86","38,966.05","40,195.32","41,462.37","42,771.08","44,123.86","45,519.75","46,956.21","48,431.97","49,945.28","51,493.57","53,076.37","54,689.94","56,324.31","57,966.81","59,607.95","61,242.19","62,869.91","64,494.87","66,123.91","67,761.37","69,407.62","71,058.65","72,709.31","74,352.63","75,983.49","77,599.11","79,200.08","80,788.73","82,368.93","83,943.14","85,512.62","87,075.14","88,625.44","90,156.40","91,663.29","93,147.05","94,611.01","96,056.31","97,484.82","98,899.85","100,298.15","101,684.76","103,081.02","104,514.93","106,005.20","107,560.16","109,170.50","110,815.27","112,463.89","114,092.96","115,695.47","117,274.16","118,827.16","120,355.14","121,858.25","123,333.38","124,777.33","126,190.78","127,575.53","128,932.75"
185,Nicaragua,558,Country/Area,916,"1,294.99","1,332.05","1,372.10","1,414.94","1,460.35","1,508.10","1,557.96","1,609.65","1,662.91","1,717.47","1,773.13","1,829.77","1,887.43","1,946.24","2,006.48","2,068.38","2,131.97","2,197.30","2,264.62","2,334.29","2,406.52","2,481.35","2,558.71","2,638.70","2,721.42","2,806.86","2,894.97","2,985.48","3,077.86","3,171.40","3,265.52","3,360.14","3,455.13","3,549.71","3,642.98","3,734.34","3,823.13","3,909.67","3,995.53","4,082.96","4,173.44","4,267.57","4,364.51","4,462.50","4,559.01","4,652.19","4,741.57","4,827.66","4,910.64","4,991.04","5,069.31","5,145.37","5,219.32","5,292.12","5,364.93","5,438.69","5,513.76","5,590.07","5,667.44","5,745.54","5,824.06","5,903.04","5,982.53","6,062.46","6,142.73","6,223.23","6,303.97","6,384.84","6,465.50","6,545.50","6,624.55"
186,Panama,591,Country/Area,916,859.66,881.35,904.41,928.75,954.31,981.08,"1,009.04","1,038.18","1,068.54","1,100.14","1,133.01","1,167.12","1,202.45","1,238.89","1,276.33","1,314.68","1,353.85","1,393.82","1,434.68","1,476.48","1,519.29","1,563.09","1,607.80","1,653.21","1,699.06","1,745.14","1,791.39","1,837.80","1,884.43","1,931.30","1,978.49","2,025.97","2,073.75","2,121.86","2,170.33","2,219.20","2,268.50","2,318.26","2,368.56","2,419.42","2,470.95","2,523.12","2,575.95","2,629.58","2,684.12","2,739.67","2,796.29","2,853.91","2,912.32","2,971.20","3,030.33","3,089.64","3,149.20","3,209.06","3,269.36","3,330.22","3,391.67","3,453.67","3,516.20","3,579.22","3,642.69","3,706.48","3,770.64","3,835.45","3,901.31","3,968.49","4,037.07","4,106.76","4,176.87","4,246.44","4,314.77"
187,South America,931,Subregion,1830,"113,765.19","116,853.65","120,043.21","123,321.74","126,681.75","130,120.24","133,638.91","137,244.22","140,946.13","144,756.68","148,685.68","152,735.91","156,898.85","161,152.90","165,468.54","169,823.17","174,212.39","178,638.48","183,094.38","187,573.59","192,073.92","196,589.34","201,125.76","205,707.78","210,369.13","215,134.42","220,007.82","224,983.26","230,061.55","235,240.53","240,515.27","245,886.79","251,346.39","256,866.41","262,410.93","267,951.82","273,476.29","278,983.18","284,470.91","289,942.20","295,398.18","300,829.46","306,228.63","311,601.58","316,958.27","322,302.32","327,635.13","332,943.54","338,199.12","343,364.52","348,411.89","353,333.49","358,133.21","362,809.67","367,365.34","371,804.64","376,122.78","380,325.06","384,439.48","388,503.34","392,543.70","396,571.75","400,581.56","404,561.95","408,493.80","412,362.69","416,164.87","419,903.92","423,581.10","427,199.43","430,759.77"
188,Argentina,32,Country/Area,931,"17,037.91","17,390.38","17,742.98","18,094.29","18,443.31","18,789.42","19,132.41","19,472.47","19,810.17","20,146.31","20,481.78","20,817.27","21,153.04","21,488.92","21,824.43","22,159.64","22,494.03","22,828.87","23,168.27","23,517.61","23,880.56","24,259.56","24,653.17","25,056.48","25,462.31","25,865.78","26,264.68","26,661.40","27,061.04","27,471.05","27,896.53","28,338.51","28,794.55","29,262.05","29,737.10","30,216.28","30,698.96","31,184.41","31,668.94","32,148.14","32,618.65","33,079.00","33,529.32","33,970.10","34,402.67","34,828.17","35,246.38","35,657.44","36,063.45","36,467.22","36,870.80","37,275.64","37,681.74","38,087.87","38,491.97","38,892.92","39,289.88","39,684.30","40,080.16","40,482.79","40,895.75","41,320.50","41,755.19","42,196.03","42,637.51","43,075.42","43,508.46","43,937.14","44,361.15","44,780.68","45,195.78"
189,Bolivia (Plurinational State of),68,Country/Area,931,"3,081.84","3,124.34","3,170.68","3,220.68","3,274.21","3,331.04","3,390.97","3,453.78","3,519.19","3,587.00","3,656.96","3,728.95","3,803.00","3,879.19","3,957.76","4,038.87","4,122.52","4,208.68","4,297.52","4,389.25","4,484.00","4,581.75","4,682.39","4,785.92","4,892.29","5,001.41","5,113.46","5,228.25","5,344.95","5,462.41","5,579.93","5,697.10","5,814.34","5,932.81","6,054.13","6,179.46","6,309.13","6,442.82","6,580.32","6,721.12","6,864.84","7,011.46","7,160.92","7,312.86","7,466.79","7,622.33","7,779.27","7,937.45","8,096.76","8,257.07","8,418.27","8,580.24","8,742.82","8,905.82","9,069.04","9,232.30","9,395.45","9,558.44","9,721.46","9,884.79","10,048.60","10,212.95","10,377.68","10,542.38","10,706.52","10,869.73","11,031.82","11,192.85","11,353.14","11,513.10","11,673.03"
190,Brazil,76,Country/Area,931,"53,974.73","55,606.41","57,283.66","58,999.28","60,749.49","62,533.92","64,355.71","66,221.47","68,140.43","70,123.37","72,179.24","74,311.34","76,514.33","78,772.65","81,064.57","83,373.53","85,696.50","88,035.82","90,387.08","92,746.61","95,113.27","97,482.93","99,859.39","102,259.50","104,706.19","107,216.21","109,790.94","112,425.39","115,121.16","117,878.41","120,694.01","123,570.33","126,498.32","129,448.82","132,383.57","135,274.08","138,108.92","140,891.61","143,627.51","146,328.31","149,003.23","151,648.01","154,259.38","156,849.09","159,432.72","162,019.89","164,614.68","167,209.05","169,785.25","172,318.67","174,790.34","177,196.05","179,537.52","181,809.24","184,006.48","186,127.11","188,167.35","190,130.45","192,030.36","193,886.51","195,713.64","197,514.54","199,287.29","201,035.90","202,763.74","204,471.76","206,163.06","207,833.83","209,469.32","211,049.52","212,559.41"
191,Chile,152,Country/Area,931,"6,598.52","6,729.58","6,869.71","7,016.47","7,167.91","7,322.66","7,479.85","7,639.21","7,800.87","7,965.32","8,132.99","8,303.80","8,476.90","8,650.39","8,821.86","8,989.61","9,152.85","9,312.09","9,468.85","9,625.30","9,783.13","9,942.72","10,103.68","10,265.83","10,428.80","10,592.31","10,756.88","10,922.78","11,089.17","11,254.88","11,419.35","11,582.02","11,743.91","11,907.96","12,078.14","12,257.24","12,445.83","12,642.92","12,847.71","13,058.76","13,274.62","13,495.26","13,719.82","13,944.93","14,166.35","14,380.86","14,587.37","14,786.23","14,977.74","15,162.80","15,342.35","15,516.11","15,684.41","15,849.65","16,014.97","16,182.71","16,354.51","16,530.20","16,708.26","16,886.18","17,062.53","17,233.58","17,400.36","17,571.51","17,758.97","17,969.36","18,209.07","18,470.44","18,729.17","18,952.04","19,116.21"
192,Colombia,170,Country/Area,931,"11,981.58","12,295.97","12,633.90","12,993.85","13,374.54","13,775.00","14,194.56","14,632.79","15,089.52","15,564.62","16,057.71","16,567.82","17,092.92","17,629.98","18,175.19","18,725.24","19,279.73","19,837.51","20,393.70","20,942.45","21,480.06","22,003.98","22,516.43","23,024.51","23,538.39","24,065.50","24,608.10","25,164.54","25,733.67","26,313.00","26,900.51","27,496.61","28,101.82","28,714.18","29,331.23","29,951.19","30,572.48","31,195.42","31,822.53","32,457.50","33,102.57","33,758.33","34,422.57","35,091.27","35,758.98","36,421.44","37,076.39","37,723.80","38,364.31","38,999.47","39,629.97","40,255.96","40,875.36","41,483.87","42,075.95","42,647.73","43,200.90","43,737.51","44,254.97","44,750.05","45,222.70","45,662.75","46,075.72","46,495.49","46,967.71","47,520.67","48,175.05","48,909.84","49,661.06","50,339.44","50,882.88"
193,Ecuador,218,Country/Area,931,"3,470.16","3,561.08","3,654.72","3,751.60","3,852.13","3,956.63","4,065.33","4,178.34","4,295.75","4,417.54","4,543.66","4,674.18","4,809.19","4,948.99","5,093.85","5,243.98","5,399.42","5,560.01","5,725.46","5,895.37","6,069.38","6,247.42","6,429.38","6,614.84","6,803.27","6,994.33","7,187.79","7,383.71","7,582.36","7,784.07","7,989.18","8,197.65","8,409.40","8,624.59","8,843.46","9,066.10","9,292.48","9,522.36","9,755.58","9,991.87","10,230.93","10,472.48","10,716.13","10,961.46","11,208.00","11,455.21","11,703.17","11,951.46","12,198.45","12,442.11","12,681.12","12,914.66","13,143.47","13,369.68","13,596.39","13,825.84","14,059.38","14,296.55","14,535.74","14,774.41","15,011.11","15,243.89","15,474.10","15,707.47","15,951.83","16,212.02","16,491.12","16,785.36","17,084.36","17,373.66","17,643.06"
