Index,Country,Country code,Type,Parent code,"1,950.00","1,951.00","1,952.00",1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
63,Western Africa,914,Subregion,947,"70,875.17","71,979.85","73,162.51","74,414.92","75,731.35","77,108.32","78,545.05","80,043.02","81,605.92","83,238.96","84,947.08","86,733.43","88,597.69","90,535.39","92,539.74","94,607.33","96,738.69","98,940.45","101,222.70","103,598.81","106,080.02","108,668.39","111,366.48","114,186.19","117,141.53","120,241.78","123,493.22","126,891.74","130,422.40","134,063.66","137,799.46","141,624.71","145,542.71","149,556.33","153,671.19","157,891.46","162,220.47","166,656.46","171,192.91","175,820.53","180,535.02","185,334.40","190,227.59","195,234.75","200,382.69","205,691.82","211,175.76","216,834.49","222,658.96","228,633.07","234,748.62","241,003.26","247,412.25","254,005.68","260,823.42","267,894.67","275,232.08","282,830.15","290,676.99","298,752.07","307,040.41","315,538.37","324,250.94","333,181.56","342,336.09","351,717.64","361,327.31","371,159.56","381,202.45","391,440.15","401,861.26"
64,Benin,204,Country/Area,914,"2,255.22","2,258.48","2,264.86","2,274.48","2,287.38","2,303.59","2,323.05","2,345.71","2,371.46","2,400.13","2,431.62","2,465.87","2,502.90","2,542.86","2,585.96","2,632.36","2,682.16","2,735.31","2,791.59","2,850.66","2,912.34","2,976.58","3,043.56","3,113.68","3,187.41","3,265.17","3,347.17","3,433.45","3,523.93","3,618.52","3,717.16","3,820.13","3,927.72","4,039.94","4,156.82","4,278.50","4,404.50","4,535.26","4,672.84","4,820.02","4,978.49","5,149.50","5,331.81","5,521.76","5,714.22","5,905.55","6,094.27","6,281.64","6,470.28","6,664.10","6,865.95","7,076.73","7,295.40","7,520.56","7,750.00","7,982.22","8,216.89","8,454.79","8,696.92","8,944.71","9,199.25","9,460.83","9,729.25","10,004.59","10,286.84","10,575.96","10,872.07","11,175.19","11,485.04","11,801.15","12,123.20"
65,Burkina Faso,854,Country/Area,914,"4,284.46","4,324.49","4,367.14","4,413.20","4,463.17","4,517.16","4,574.95","4,635.95","4,699.35","4,764.09","4,829.29","4,894.58","4,960.33","5,027.81","5,098.89","5,174.87","5,256.36","5,343.03","5,434.05","5,528.17","5,624.59","5,723.38","5,825.17","5,930.49","6,040.05","6,154.55","6,274.03","6,398.93","6,530.82","6,671.66","6,822.84","6,985.17","7,158.26","7,340.91","7,531.24","7,727.91","7,930.69","8,140.08","8,356.31","8,579.82","8,811.03","9,050.09","9,297.11","9,552.47","9,816.58","10,089.88","10,372.73","10,665.55","10,968.72","11,282.70","11,607.95","11,944.59","12,293.10","12,654.62","13,030.58","13,421.94","13,829.17","14,252.03","14,689.73","15,141.10","15,605.21","16,081.92","16,571.25","17,072.79","17,586.03","18,110.62","18,646.35","19,193.24","19,751.47","20,321.38","20,903.28"
66,Cabo Verde,132,Country/Area,914,178.06,186.08,191.45,194.72,196.46,197.19,197.42,197.59,198.13,199.43,201.77,205.32,210.14,216.09,222.95,230.42,238.66,247.52,256.17,263.46,268.63,271.32,271.84,271.07,270.23,270.24,271.35,273.34,276.18,279.73,283.85,288.68,294.24,300.23,306.14,311.67,316.61,321.14,325.74,331.18,337.95,346.23,355.76,366.06,376.41,386.29,395.53,404.25,412.51,420.46,428.18,435.70,442.96,449.93,456.62,463.03,469.17,475.07,480.85,486.67,492.64,498.86,505.24,511.74,518.28,524.74,531.14,537.50,543.76,549.94,555.99
67,Côte d'Ivoire,384,Country/Area,914,"2,630.13","2,690.63","2,761.08","2,838.19","2,919.71","3,004.42","3,092.20","3,183.96","3,281.51","3,387.29","3,503.56","3,631.55","3,770.76","3,918.63","4,071.41","4,226.84","4,383.72","4,544.17","4,713.13","4,897.47","5,102.07","5,328.74","5,576.03","5,841.51","6,121.30","6,412.41","6,713.95","7,026.50","7,350.27","7,685.93","8,033.65","8,393.69","8,764.99","9,144.94","9,530.10","9,918.20","10,307.27","10,698.19","11,094.74","11,502.45","11,924.87","12,362.40","12,812.43","13,271.64","13,735.44","14,199.76","14,665.13","15,130.67","15,589.41","16,032.57","16,454.66","16,853.03","17,231.54","17,599.61","17,970.49","18,354.51","18,754.91","19,171.25","19,605.57","20,059.15","20,532.94","21,028.65","21,547.19","22,087.51","22,647.67","23,226.15","23,822.73","24,437.48","25,069.23","25,716.55","26,378.28"
68,Gambia,270,Country/Area,914,304.90,309.08,313.53,318.38,323.76,329.66,336.12,343.01,350.23,357.63,365.05,372.44,379.89,387.64,396.01,405.26,415.48,426.62,438.59,451.23,464.40,478.11,492.42,507.43,523.25,539.99,557.81,576.76,596.54,616.77,637.25,657.58,678.11,700.20,725.69,755.79,791.14,831.01,873.44,915.63,955.60,992.67,"1,027.48","1,060.86","1,094.22","1,128.58","1,164.09","1,200.52","1,238.12","1,277.12","1,317.71","1,360.07","1,404.26","1,449.93","1,496.52","1,543.75","1,591.44","1,639.85","1,689.29","1,740.28","1,793.20","1,848.14","1,905.02","1,963.71","2,024.04","2,085.86","2,149.13","2,213.90","2,280.09","2,347.70","2,416.66"
69,Ghana,288,Country/Area,914,"5,036.15","5,140.32","5,268.65","5,413.37","5,568.65","5,730.59","5,897.35","6,069.00","6,247.30","6,435.16","6,635.23","6,848.29","7,071.97","7,300.12","7,524.47","7,739.46","7,941.42","8,132.80","8,321.77","8,520.02","8,735.49","8,973.25","9,229.64","9,493.55","9,749.10","9,985.95","10,199.16","10,395.45","10,590.27","10,805.32","11,056.11","11,348.29","11,676.83","12,033.56","12,405.66","12,783.62","13,164.84","13,552.02","13,947.05","14,353.41","14,773.27","15,207.36","15,653.35","16,106.76","16,561.68","17,014.06","17,462.50","17,908.98","18,357.16","18,812.37","19,278.85","19,756.93","20,246.38","20,750.31","21,272.33","21,814.65","22,379.06","22,963.95","23,563.83","24,170.94","24,779.61","25,387.71","25,996.45","26,607.64","27,224.48","27,849.20","28,481.95","29,121.46","29,767.11","30,417.86","31,072.95"
70,Guinea,324,Country/Area,914,"3,012.94","3,054.00","3,095.61","3,138.45","3,183.01","3,229.64","3,278.50","3,329.56","3,382.71","3,437.67","3,494.16","3,552.07","3,611.43","3,672.56","3,735.91","3,801.71","3,870.20","3,941.05","4,013.05","4,084.60","4,154.61","4,223.06","4,290.54","4,357.36","4,424.03","4,491.25","4,559.24","4,628.88","4,702.37","4,782.49","4,871.45","4,969.60","5,077.07","5,195.44","5,326.37","5,470.72","5,629.42","5,801.32","5,982.48","6,167.48","6,352.28","6,534.94","6,716.03","6,897.17","7,081.12","7,269.63","7,463.78","7,662.07","7,860.77","8,054.75","8,240.74","8,417.08","8,586.08","8,753.10","8,925.73","9,109.59","9,307.42","9,518.16","9,738.80","9,964.47","10,192.17","10,420.46","10,652.03","10,892.82","11,150.97","11,432.10","11,738.43","12,067.52","12,414.29","12,771.25","13,132.79"
71,Guinea-Bissau,624,Country/Area,914,535.44,544.41,552.57,560.36,568.16,576.13,584.34,592.67,600.93,608.84,616.14,622.75,628.88,635.01,641.82,649.80,659.00,669.24,680.43,692.41,704.94,718.36,732.52,746.18,757.67,765.99,770.42,771.73,772.14,774.73,781.68,793.80,810.40,830.21,851.28,872.16,892.53,912.76,933.05,953.78,975.27,997.52,"1,020.35","1,043.42","1,066.35","1,088.85","1,110.84","1,132.51","1,154.37","1,177.13","1,201.31","1,227.11","1,254.45","1,283.30","1,313.49","1,344.93","1,377.58","1,411.55","1,446.94","1,483.92","1,522.60","1,563.00","1,604.98","1,648.26","1,692.43","1,737.21","1,782.43","1,828.15","1,874.30","1,920.92","1,968.00"
72,Liberia,430,Country/Area,914,930.02,943.66,958.70,975.06,992.65,"1,011.37","1,031.14","1,051.83","1,073.38","1,095.67","1,118.66","1,142.30","1,166.65","1,191.80","1,217.91","1,245.10","1,273.46","1,303.03","1,333.98","1,366.50","1,400.73","1,436.74","1,474.57","1,514.36","1,556.29","1,600.45","1,645.83","1,692.16","1,740.92","1,794.25","1,852.99","1,918.83","1,989.48","2,057.23","2,111.67","2,145.76","2,158.43","2,153.31","2,134.11","2,106.43","2,075.92","2,040.14","2,001.61","1,976.70","1,986.49","2,044.66","2,160.48","2,326.21","2,517.47","2,699.71","2,848.45","2,953.93","3,024.73","3,077.06","3,135.65","3,218.11","3,329.21","3,461.91","3,607.86","3,754.13","3,891.36","4,017.45","4,135.66","4,248.34","4,359.51","4,472.23","4,586.79","4,702.22","4,818.98","4,937.37","5,057.68"
73,Mali,466,Country/Area,914,"4,708.43","4,759.04","4,811.20","4,864.75","4,919.55","4,975.40","5,032.12","5,089.51","5,147.34","5,205.45","5,263.73","5,322.27","5,381.37","5,441.62","5,503.75","5,568.50","5,635.86","5,706.19","5,780.84","5,861.42","5,949.04","6,044.52","6,147.46","6,256.19","6,368.35","6,482.28","6,596.72","6,712.27","6,831.09","6,956.41","7,090.12","7,234.73","7,388.67","7,545.16","7,694.86","7,831.89","7,952.86","8,062.22","8,171.53","8,296.92","8,449.92","8,635.53","8,850.33","9,087.17","9,334.89","9,585.66","9,837.58","10,094.36","10,360.56","10,642.94","10,946.45","11,271.60","11,616.89","11,982.69","12,369.08","12,775.51","13,203.38","13,651.46","14,113.58","14,581.43","15,049.35","15,514.59","15,979.49","16,449.85","16,934.21","17,438.77","17,965.45","18,512.43","19,077.76","19,658.02","20,250.83"
74,Mauritania,478,Country/Area,914,651.43,666.81,683.14,700.49,718.87,738.30,758.75,780.22,802.67,826.07,850.38,875.59,901.69,928.74,956.79,985.91,"1,016.09","1,047.35","1,079.58","1,112.75","1,146.78","1,181.66","1,217.44","1,254.16","1,291.86","1,330.59","1,370.36","1,411.14","1,453.03","1,496.17","1,540.64","1,586.50","1,633.66","1,681.86","1,730.74","1,780.03","1,829.68","1,879.76","1,930.43","1,981.90","2,034.35","2,087.91","2,142.65","2,198.54","2,255.52","2,313.63","2,372.90","2,433.57","2,496.22","2,561.58","2,630.22","2,702.41","2,778.10","2,857.15","2,939.25","3,024.20","3,111.91","3,202.51","3,296.24","3,393.41","3,494.20","3,598.65","3,706.56","3,817.50","3,930.89","4,046.30","4,163.53","4,282.58","4,403.31","4,525.70","4,649.66"
75,Niger,562,Country/Area,914,"2,559.71","2,638.13","2,716.82","2,795.80","2,875.27","2,955.54","3,037.05","3,120.42","3,206.34","3,295.57","3,388.77","3,486.32","3,588.23","3,693.99","3,802.80","3,914.12","4,027.97","4,144.59","4,263.93","4,385.93","4,510.65","4,637.98","4,768.23","4,902.15","5,040.80","5,184.94","5,335.08","5,491.16","5,652.66","5,818.76","5,989.00","6,163.71","6,343.53","6,528.65","6,719.31","6,915.99","7,118.89","7,328.93","7,548.43","7,780.24","8,026.59","8,288.74","8,566.77","8,860.30","9,168.32","9,490.29","9,826.60","10,178.20","10,545.72","10,929.92","11,331.56","11,751.36","12,189.99","12,647.98","13,125.91","13,624.47","14,143.97","14,685.40","15,250.91","15,843.13","16,464.03","17,114.77","17,795.21","18,504.29","19,240.18","20,001.66","20,788.79","21,602.39","22,442.83","23,310.72","24,206.64"
76,Nigeria,566,Country/Area,914,"37,859.75","38,424.14","39,035.44","39,686.16","40,370.85","41,086.10","41,830.62","42,605.12","43,412.09","44,255.34","45,138.46","46,063.57","47,029.82","48,032.93","49,066.76","50,127.92","51,217.97","52,342.23","53,506.20","54,717.04","55,982.14","57,296.99","58,665.81","60,114.62","61,677.17","63,374.29","65,221.38","67,203.13","69,271.92","71,361.14","73,423.65","75,440.51","77,427.54","79,414.84","81,448.76","83,562.78","85,766.40","88,048.03","90,395.28","92,788.04","95,212.45","97,667.63","100,161.71","102,700.75","105,293.70","107,948.34","110,668.78","113,457.66","116,319.76","119,260.06","122,283.85","125,394.05","128,596.08","131,900.63","135,320.42","138,865.01","142,538.31","146,339.97","150,269.62","154,324.94","158,503.20","162,805.08","167,228.80","171,765.82","176,404.93","181,137.45","185,960.24","190,873.25","195,874.69","200,963.60","206,139.59"
77,Saint Helena,654,Country/Area,914,5.25,5.29,5.32,5.33,5.34,5.35,5.35,5.36,5.37,5.38,5.36,5.34,5.33,5.33,5.31,5.33,5.37,5.42,5.51,5.60,5.70,5.80,5.91,6.03,6.14,6.23,6.32,6.40,6.46,6.52,6.58,6.65,6.70,6.76,6.80,6.82,6.82,6.80,6.76,6.72,6.65,6.57,6.49,6.39,6.31,6.24,6.20,6.19,6.17,6.13,6.05,5.94,5.80,5.64,5.49,5.35,5.26,5.18,5.15,5.14,5.18,5.28,5.42,5.58,5.74,5.87,5.96,6.01,6.04,6.06,6.07
78,Senegal,686,Country/Area,914,"2,486.64","2,545.34","2,606.62","2,670.73","2,737.91","2,808.24","2,881.77","2,958.48","3,038.29","3,121.09","3,206.76","3,295.28","3,386.80","3,481.65","3,580.24","3,682.88","3,789.38","3,899.65","4,014.11","4,133.32","4,257.51","4,387.53","4,522.89","4,660.73","4,797.19","4,929.85","5,057.38","5,181.51","5,306.69","5,439.07","5,583.16","5,740.44","5,909.73","6,089.57","6,277.42","6,471.33","6,670.67","6,875.75","7,086.62","7,303.51","7,526.31","7,755.50","7,990.09","8,226.75","8,461.07","8,690.16","8,912.87","9,130.88","9,347.78","9,568.72","9,797.73","10,036.10","10,283.69","10,541.47","10,810.09","11,090.12","11,382.27","11,687.08","12,004.70","12,335.09","12,678.14","13,033.81","13,401.99","13,782.43","14,174.74","14,578.45","14,993.51","15,419.35","15,854.32","16,296.36","16,743.93"
79,Sierra Leone,694,Country/Area,914,"2,041.20","2,064.47","2,088.48","2,113.35","2,139.09","2,165.82","2,193.62","2,222.60","2,252.84","2,284.49","2,317.64","2,352.37","2,388.76","2,426.86","2,466.67","2,508.23","2,551.58","2,596.80","2,644.01","2,693.34","2,744.89","2,798.73","2,854.87","2,913.35","2,974.11","3,037.16","3,102.60","3,170.50","3,240.84","3,313.51","3,388.49","3,464.11","3,540.16","3,619.85","3,707.51","3,805.30","3,916.69","4,038.15","4,156.64","4,254.43","4,319.76","4,348.66","4,347.73","4,328.97","4,309.78","4,303.95","4,312.66","4,335.30","4,381.48","4,462.37","4,584.57","4,754.07","4,965.77","5,201.07","5,434.00","5,645.63","5,829.24","5,989.64","6,133.60","6,272.74","6,415.64","6,563.24","6,712.59","6,863.98","7,017.15","7,171.91","7,328.85","7,488.43","7,650.15","7,813.21","7,976.99"
80,Togo,768,Country/Area,914,"1,395.45","1,425.48","1,441.92","1,452.09","1,461.52","1,473.84","1,490.72","1,512.02","1,535.97","1,559.68","1,580.51","1,597.52","1,612.76","1,631.76","1,662.07","1,708.63","1,774.02","1,855.45","1,945.78","2,034.90","2,115.52","2,185.67","2,247.58","2,303.34","2,356.62","2,410.45","2,464.42","2,518.45","2,576.29","2,642.69","2,720.84","2,812.31","2,915.62","3,026.98","3,140.84","3,253.00","3,363.04","3,471.74","3,577.47","3,678.57","3,774.31","3,863.00","3,945.90","4,029.04","4,120.62","4,226.29","4,348.81","4,485.95","4,632.45","4,780.46","4,924.41","5,062.57","5,197.04","5,330.63","5,467.77","5,611.64","5,762.88","5,920.36","6,083.42","6,250.84","6,421.67","6,595.94","6,773.81","6,954.72","7,138.00","7,323.16","7,509.95","7,698.48","7,889.10","8,082.36","8,278.74"
81,NORTHERN AFRICA AND WESTERN ASIA,1833,SDG region,1828,"100,239.14","102,643.61","105,170.69","107,813.26","110,566.03","113,425.34","116,389.26","119,457.37","122,630.81","125,911.62","129,301.68","132,801.52","136,408.97","140,118.99","143,924.73","147,821.73","151,812.07","155,898.84","160,081.14","164,357.66","168,730.18","173,201.25","177,780.00","182,483.77","187,334.73","192,351.45","197,531.29","202,877.18","208,419.19","214,194.61","220,224.39","226,520.86","233,060.53","239,783.41","246,607.30","253,469.19","260,337.72","267,215.51","274,113.69","281,057.64","288,060.44","295,134.77","302,256.13","309,357.57","316,350.29","323,178.12","329,823.07","336,326.65","342,767.42","349,255.93","355,881.67","362,661.04","369,598.61","376,756.17","384,203.33","391,985.54","400,125.55","408,601.63","417,355.41","426,301.14","435,366.79","444,534.98","453,795.00","463,088.05","472,346.60","481,520.02","490,571.00","499,496.95","508,325.58","517,105.56","525,869.28"
82,Northern Africa,912,Subregion,1833,"48,787.61","49,955.12","51,184.65","52,478.25","53,836.68","55,259.41","56,744.34","58,288.00","59,885.84","61,532.55","63,223.19","64,954.58","66,726.24","68,540.98","70,403.44","72,316.38","74,284.69","76,305.74","78,366.15","80,447.65","82,539.48","84,637.32","86,752.48","88,909.32","91,141.35","93,474.14","95,912.55","98,453.99","101,106.78","103,878.66","106,772.56","109,791.44","112,927.37","116,157.78","119,452.06","122,785.32","126,143.63","129,522.56","132,917.37","136,326.37","139,744.83","143,173.36","146,599.27","149,989.62","153,302.57","156,510.64","159,601.52","162,589.70","165,508.68","168,407.03","171,322.85","174,275.39","177,265.29","180,290.67","183,342.86","186,421.28","189,521.63","192,665.11","195,906.13","199,315.26","202,940.27","206,799.19","210,870.34","215,111.20","219,458.59","223,861.60","228,307.02","232,793.20","237,293.80","241,780.77","246,232.51"
83,Algeria,12,Country/Area,912,"8,872.25","9,023.26","9,186.15","9,364.38","9,560.15","9,774.28","10,006.15","10,253.78","10,514.08","10,783.23","11,057.86","11,336.34","11,619.83","11,912.80","12,221.68","12,550.88","12,902.63","13,275.02","13,663.58","14,061.72","14,464.99","14,872.25","15,285.99","15,709.83","16,149.02","16,607.71","17,085.80","17,582.90","18,102.27","18,647.80","19,221.66","19,824.30","20,452.90","21,101.88","21,763.58","22,431.51","23,102.39","23,774.29","24,443.47","25,106.19","25,758.87","26,400.47","27,028.33","27,635.52","28,213.78","28,757.79","29,266.42","29,742.98","30,192.75","30,623.41","31,042.24","31,451.51","31,855.11","32,264.16","32,692.15","33,149.72","33,641.01","34,166.98","34,730.60","35,333.88","35,977.45","36,661.44","37,383.90","38,140.14","38,923.69","39,728.02","40,551.40","41,389.17","42,228.42","43,053.05","43,851.04"
84,Egypt,818,Country/Area,912,"20,451.99","20,948.60","21,473.79","22,028.13","22,611.50","23,223.13","23,861.51","24,524.53","25,209.46","25,913.23","26,632.89","27,366.24","28,112.26","28,871.38","29,644.88","30,433.02","31,237.60","32,056.51","32,881.85","33,703.13","34,513.85","35,311.91","36,102.67","36,896.55","37,708.14","38,549.13","39,422.73","40,329.59","41,275.73","42,267.43","43,309.06","44,400.11","45,539.30","46,728.28","47,968.64","49,258.73","50,602.36","51,991.70","53,399.24","54,788.68","56,134.48","57,424.55","58,666.81","59,880.66","61,095.80","62,334.03","63,601.63","64,892.27","66,200.26","67,515.59","68,831.56","70,152.66","71,485.04","72,826.10","74,172.07","75,523.58","76,873.67","78,232.12","79,636.08","81,134.79","82,761.24","84,529.25","86,422.24","88,404.65","90,424.67","92,442.55","94,447.07","96,442.59","98,423.60","100,388.08","102,334.40"
85,Libya,434,Country/Area,912,"1,124.52","1,142.98","1,163.89","1,187.74","1,214.82","1,245.36","1,279.40","1,316.91","1,357.73","1,401.63","1,448.42","1,498.08","1,550.82","1,607.17","1,667.82","1,733.31","1,803.69","1,878.87","1,958.91","2,043.82","2,133.53","2,228.14","2,327.49","2,430.75","2,536.90","2,645.14","2,754.70","2,865.64","2,979.10","3,096.72","3,219.46","3,347.78","3,480.44","3,614.68","3,746.71","3,873.78","3,994.60","4,109.72","4,220.45","4,328.94","4,436.66","4,544.25","4,650.90","4,755.13","4,854.87","4,948.80","5,036.17","5,118.01","5,196.77","5,275.92","5,357.89","5,443.25","5,531.10","5,620.55","5,710.16","5,798.62","5,886.87","5,974.79","6,058.74","6,133.99","6,197.67","6,247.44","6,285.75","6,320.35","6,362.04","6,418.32","6,492.16","6,580.72","6,678.57","6,777.45","6,871.29"
86,Morocco,504,Country/Area,912,"8,985.99","9,243.41","9,528.98","9,837.08","10,162.95","10,502.66","10,853.17","11,212.23","11,578.38","11,950.75","12,328.53","12,710.59","13,094.89","13,478.43","13,857.66","14,230.16","14,595.35","14,954.04","15,307.27","15,656.85","16,004.73","16,350.88","16,696.89","17,048.53","17,413.15","17,796.17","18,198.84","18,620.09","19,059.77","19,516.94","19,990.01","20,479.71","20,984.02","21,495.09","22,002.64","22,499.11","22,980.33","23,447.26","23,903.59","24,355.62","24,807.46","25,260.41","25,711.41","26,155.20","26,584.47","26,994.26","27,383.47","27,754.57","28,110.45","28,455.50","28,793.67","29,126.32","29,454.77","29,782.88","30,115.20","30,455.56","30,804.69","31,163.67","31,536.81","31,929.09","32,343.38","32,781.86","33,241.90","33,715.71","34,192.36","34,663.61","35,126.27","35,581.26","36,029.09","36,471.77","36,910.56"
87,Sudan,729,Country/Area,912,"5,733.79","5,884.65","6,041.33","6,204.10","6,373.31","6,549.29","6,732.44","6,923.12","7,121.74","7,328.73","7,544.50","7,769.48","8,004.12","8,248.82","8,503.99","8,770.09","9,047.80","9,337.66","9,639.85","9,954.41","10,281.70","10,621.47","10,974.63","11,343.92","11,732.96","12,144.13","12,578.40","13,034.63","13,510.43","14,002.30","14,507.47","15,027.25","15,562.13","16,107.61","16,657.96","17,210.18","17,757.49","18,303.43","18,867.56","19,476.65","20,147.59","20,891.44","21,696.24","22,527.84","23,338.47","24,094.74","24,782.38","25,413.91","26,015.52","26,626.51","27,275.02","27,971.08","28,704.79","29,460.52","30,214.19","30,949.51","31,661.82","32,360.62","33,060.84","33,783.78","34,545.01","35,349.68","36,193.78","37,072.56","37,977.66","38,902.95","39,847.43","40,813.40","41,801.53","42,813.24","43,849.27"
88,Tunisia,788,Country/Area,912,"3,605.31","3,696.16","3,772.93","3,838.09","3,894.12","3,943.54","3,988.87","4,032.59","4,077.21","4,125.08","4,178.24","4,238.14","4,305.48","4,380.07","4,461.11","4,547.94","4,641.00","4,740.53","4,845.22","4,953.38","5,063.81","5,176.29","5,291.34","5,409.34","5,530.98","5,656.91","5,786.48","5,919.96","6,060.16","6,210.76","6,374.04","6,551.23","6,740.52","6,937.33","7,135.27","7,329.59","7,517.85","7,700.73","7,880.33","8,060.21","8,242.51","8,427.85","8,613.86","8,795.93","8,967.92","9,125.40","9,267.34","9,395.12","9,509.86","9,613.59","9,708.35","9,793.92","9,871.26","9,945.28","10,022.28","10,106.78","10,201.21","10,304.73","10,414.43","10,525.69","10,635.25","10,741.87","10,846.99","10,952.95","11,063.20","11,179.95","11,303.94","11,433.44","11,565.20","11,694.72","11,818.62"
89,Western Sahara,732,Country/Area,912,13.76,16.05,17.58,18.73,19.83,21.15,22.80,24.84,27.24,29.91,32.76,35.73,38.85,42.31,46.31,50.97,56.63,63.12,69.48,74.34,76.88,76.37,73.48,70.40,70.21,74.95,85.61,101.18,119.33,136.70,150.86,161.06,168.06,172.90,177.27,182.42,188.60,195.44,202.72,210.07,217.26,224.39,231.73,239.33,247.26,255.64,264.11,272.84,283.07,296.51,314.12,336.65,363.23,391.18,416.80,437.52,452.36,462.21,468.63,474.05,480.27,487.65,495.77,504.86,514.98,526.21,538.74,552.62,567.40,582.46,597.33
90,Western Asia,922,Subregion,1833,"51,451.53","52,688.50","53,986.04","55,335.02","56,729.34","58,165.93","59,644.93","61,169.37","62,744.98","64,379.07","66,078.49","67,846.94","69,682.73","71,578.01","73,521.29","75,505.36","77,527.38","79,593.10","81,714.99","83,910.02","86,190.69","88,563.94","91,027.52","93,574.45","96,193.38","98,877.31","101,618.74","104,423.20","107,312.41","110,315.95","113,451.84","116,729.42","120,133.16","123,625.64","127,155.24","130,683.88","134,194.09","137,692.96","141,196.33","144,731.27","148,315.61","151,961.42","155,656.85","159,367.96","163,047.72","166,667.48","170,221.55","173,736.95","177,258.74","180,848.90","184,558.82","188,385.66","192,333.32","196,465.50","200,860.48","205,564.26","210,603.92","215,936.52","221,449.28","226,985.88","232,426.52","237,735.79","242,924.67","247,976.84","252,888.01","257,658.41","262,263.98","266,703.75","271,031.78","275,324.79","279,636.77"
91,Armenia,51,Country/Area,922,"1,353.50","1,381.87","1,418.28","1,461.43","1,510.18","1,563.51","1,620.59","1,680.71","1,743.31","1,807.91","1,874.12","1,941.50","2,009.52","2,077.58","2,145.00","2,211.32","2,276.04","2,339.13","2,401.14","2,462.94","2,525.07","2,587.72","2,650.48","2,712.78","2,773.75","2,832.75","2,889.58","2,944.38","2,997.42","3,049.11","3,099.76","3,148.10","3,193.70","3,238.59","3,285.59","3,335.94","3,392.26","3,451.95","3,504.67","3,536.47","3,538.16","3,505.25","3,442.82","3,363.11","3,283.66","3,217.35","3,168.21","3,133.08","3,108.69","3,089.02","3,069.60","3,050.69","3,033.98","3,017.94","3,000.72","2,981.26","2,958.30","2,932.62","2,907.62","2,888.09","2,877.31","2,876.54","2,884.24","2,897.59","2,912.40","2,925.56","2,936.15","2,944.79","2,951.74","2,957.73","2,963.23"
92,Azerbaijan,31,Country/Area,922,"2,927.93","2,987.26","3,060.01","3,142.81","3,233.17","3,329.37","3,430.67","3,537.02","3,649.19","3,768.34","3,895.40","4,030.33","4,171.43","4,315.13","4,456.69","4,592.60","4,721.53","4,843.87","4,960.24","5,071.93","5,180.03","5,284.52","5,385.27","5,483.09","5,579.07","5,674.13","5,768.73","5,863.14","5,957.93","6,053.64","6,150.74","6,249.31","6,349.56","6,452.07","6,557.58","6,666.45","6,778.63","6,893.49","7,010.03","7,126.88","7,242.76","7,357.95","7,471.92","7,581.75","7,683.70","7,775.42","7,855.56","7,925.67","7,989.90","8,054.13","8,122.74","8,197.30","8,277.07","8,361.43","8,448.94","8,538.61","8,630.15","8,724.24","8,821.87","8,924.38","9,032.47","9,146.28","9,264.68","9,385.47","9,505.62","9,622.74","9,736.04","9,845.32","9,949.54","10,047.72","10,139.18"
93,Bahrain,48,Country/Area,922,115.61,116.83,119.59,123.50,128.25,133.58,139.26,145.11,150.98,156.78,162.43,167.90,173.14,178.14,182.89,187.43,191.79,196.06,200.65,206.04,212.61,220.31,229.15,239.53,251.91,266.54,283.75,303.17,323.47,342.80,359.90,374.12,385.95,396.45,407.23,419.43,433.48,448.98,465.20,481.08,495.93,509.76,523.08,536.21,549.59,563.70,578.66,594.93,613.70,636.54,664.61,697.55,735.14,778.71,829.85,889.16,958.42,"1,035.92","1,114.65","1,185.08","1,240.86","1,278.15","1,299.94","1,315.03","1,336.07","1,371.85","1,425.79","1,494.08","1,569.44","1,641.16","1,701.58"
94,Cyprus,196,Country/Area,922,494.02,500.38,506.63,513.43,521.19,529.97,539.57,549.47,558.90,566.97,572.93,576.40,577.70,577.92,578.63,580.97,585.31,591.30,598.50,606.12,613.62,620.86,628.00,635.11,642.32,649.75,657.52,665.52,673.25,680.01,685.41,689.17,691.72,694.08,697.72,703.69,712.34,723.38,736.48,751.04,766.62,783.12,800.61,818.75,837.10,855.39,873.43,891.19,908.71,926.05,943.29,960.27,976.97,993.56,"1,010.41","1,027.66","1,045.51","1,063.71","1,081.57","1,098.09","1,112.62","1,124.84","1,135.05","1,143.87","1,152.30","1,160.99","1,170.19","1,179.69","1,189.26","1,198.57","1,207.36"
